id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,acc,balacc,logloss,models_ensemble_count,auc
openml.org/t/3821,segment,AutoGluon,test,8,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:42:15,51.9,48,0.03,14,476602193,,1,1,0.0181596,2,1
openml.org/t/3821,segment,AutoGluon,test,9,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:43:14,58.3,54.5,0.02,14,476602194,,1,1,0.0396168,2,1
openml.org/t/3744,mu284,AutoGluon,test,0,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:43:46,31.7,28,0.01,14,476602185,,1,1,0.112813,2,1
openml.org/t/3744,mu284,AutoGluon,test,1,binary,0.931034,acc,local,1.0.0,,2.1.4,2024-08-06T20:44:19,33,29,0.2,14,476602186,,0.931034,0.930952,0.17303,2,0.995238
openml.org/t/3744,mu284,AutoGluon,test,2,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:44:57,37.6,33.7,0.005,14,476602187,,1,1,0.507802,2,1
openml.org/t/3744,mu284,AutoGluon,test,3,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:45:33,35.8,31.9,0.03,14,476602188,,1,1,0.644397,2,1
openml.org/t/3744,mu284,AutoGluon,test,4,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:46:07,33.6,29.6,0.2,14,476602189,,1,1,0.0812397,2,1
openml.org/t/3744,mu284,AutoGluon,test,5,binary,0.928571,acc,local,1.0.0,,2.1.4,2024-08-06T20:46:41,34.1,30.3,0.01,14,476602190,,0.928571,0.928571,0.185267,2,0.984694
openml.org/t/3744,mu284,AutoGluon,test,6,binary,0.964286,acc,local,1.0.0,,2.1.4,2024-08-06T20:47:16,34.1,30.1,0.2,14,476602191,,0.964286,0.964286,0.110787,2,1
openml.org/t/3744,mu284,AutoGluon,test,7,binary,0.964286,acc,local,1.0.0,,2.1.4,2024-08-06T20:47:51,34.8,31,0.1,14,476602192,,0.964286,0.964286,0.0992516,2,1
openml.org/t/3744,mu284,AutoGluon,test,8,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:48:30,38.6,34.5,0.2,14,476602193,,1,1,0.126733,2,1
openml.org/t/3744,mu284,AutoGluon,test,9,binary,1,acc,local,1.0.0,,2.1.4,2024-08-06T20:49:03,33.2,29.2,0.2,14,476602194,,1,1,0.0613875,2,1
openml.org/t/9984,fertility,AutoGluon,test,0,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:49:27,24,20,0.1,14,476602185,,0.9,0.5,0.536964,2,0.111111
openml.org/t/9984,fertility,AutoGluon,test,1,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:49:51,23.7,19.7,0.1,14,476602186,,0.9,0.5,0.23245,2,0.888889
openml.org/t/9984,fertility,AutoGluon,test,2,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:50:16,24.1,20.4,0.02,14,476602187,,0.9,0.5,0.423331,2,0.666667
openml.org/t/9984,fertility,AutoGluon,test,3,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:50:40,23.4,19.4,0.1,14,476602188,,0.9,0.5,0.665013,2,0
openml.org/t/9984,fertility,AutoGluon,test,4,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:51:04,23.7,19.8,0.03,14,476602189,,0.9,0.5,0.226556,2,1
openml.org/t/9984,fertility,AutoGluon,test,5,binary,0.8,acc,local,1.0.0,,2.1.4,2024-08-06T20:51:28,23.9,19.5,0.3,14,476602190,,0.8,0.444444,0.531776,3,0.333333
openml.org/t/9984,fertility,AutoGluon,test,6,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:51:52,23.7,19.9,0.008,14,476602191,,0.9,0.5,0.372274,2,0.777778
openml.org/t/9984,fertility,AutoGluon,test,7,binary,0.9,acc,local,1.0.0,,2.1.4,2024-08-06T20:52:16,24.2,20.1,0.2,14,476602192,,0.9,0.5,0.194311,2,1
openml.org/t/9984,fertility,AutoGluon,test,8,binary,0.7,acc,local,1.0.0,,2.1.4,2024-08-06T20:52:41,24.9,21.1,0.008,14,476602193,,0.7,0.625,0.430266,2,0.875
openml.org/t/9984,fertility,AutoGluon,test,9,binary,0.7,acc,local,1.0.0,,2.1.4,2024-08-06T20:53:06,24.1,20.3,0.08,14,476602194,,0.7,0.625,0.571246,2,0.75
openml.org/t/3874,ecoli,AutoGluon,test,0,binary,0.941176,acc,local,1.0.0,,2.1.4,2024-08-06T20:53:43,36.5,32.7,0.02,14,476602185,,0.941176,0.939286,0.366842,2,0.989286
openml.org/t/3874,ecoli,AutoGluon,test,1,binary,0.970588,acc,local,1.0.0,,2.1.4,2024-08-06T20:54:18,35.1,31.2,0.03,14,476602186,,0.970588,0.964286,0.14403,2,0.989286
openml.org/t/3874,ecoli,AutoGluon,test,2,binary,0.941176,acc,local,1.0.0,,2.1.4,2024-08-06T20:54:52,33.4,29.3,0.2,14,476602187,,0.941176,0.939286,0.122972,2,0.992857
openml.org/t/3874,ecoli,AutoGluon,test,3,binary,0.970588,acc,local,1.0.0,,2.1.4,2024-08-06T20:55:25,33.4,29.7,0.04,14,476602188,,0.970588,0.973684,0.163913,2,0.978947
openml.org/t/3874,ecoli,AutoGluon,test,4,binary,0.941176,acc,local,1.0.0,,2.1.4,2024-08-06T20:56:00,33.8,30,0.04,14,476602189,,0.941176,0.947368,0.142197,2,1
openml.org/t/3874,ecoli,AutoGluon,test,5,binary,0.941176,acc,local,1.0.0,,2.1.4,2024-08-06T20:56:33,32.7,28.9,0.007,14,476602190,,0.941176,0.940351,0.508621,2,0.996491
openml.org/t/3874,ecoli,AutoGluon,test,6,binary,0.969697,acc,local,1.0.0,,2.1.4,2024-08-06T20:57:09,35.6,31.8,0.02,14,476602191,,0.969697,0.964286,0.142948,2,0.981203
openml.org/t/3874,ecoli,AutoGluon,test,7,binary,0.939394,acc,local,1.0.0,,2.1.4,2024-08-06T20:57:48,38.9,35,0.09,14,476602192,,0.939394,0.928571,0.119242,2,0.996241
openml.org/t/3874,ecoli,AutoGluon,test,8,binary,0.969697,acc,local,1.0.0,,2.1.4,2024-08-06T20:58:20,31.8,27.9,0.03,14,476602193,,0.969697,0.973684,0.199255,2,0.958647
openml.org/t/3874,ecoli,AutoGluon,test,9,binary,0.969697,acc,local,1.0.0,,2.1.4,2024-08-06T20:58:59,38.9,35,0.01,14,476602194,,0.969697,0.973684,0.191143,2,0.996241
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,0,binary,0.402985,acc,local,1.0.0,,2.1.4,2024-08-06T20:59:29,29.7,25.5,0.04,14,476602185,,0.402985,0.403298,0.699762,3,0.424242
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,1,binary,0.447761,acc,local,1.0.0,,2.1.4,2024-08-06T21:00:00,30.3,25.8,0.2,14,476602186,,0.447761,0.446524,0.699275,4,0.438503
openml.org/t/3692,disclosure_x_noise,AutoGluon,test,2,binary,0.606061,acc,local,1.0.0,,2.1.4,2024-08-06T21:00:30,30,25.9,0.01,14,476602187,,0.606061,0.60386,0.682306,3,0.60386
