id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,6,multiclass,0.904,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:07:12,18.6,15.6,0.02,14,1770482057,,904,0.198246,0.599733,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,7,multiclass,0.92,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:07:29,17,14.3,0.01,14,1770482058,,0.92,0.266667,0.58537,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,8,multiclass,0.896,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:07:45,16.5,13.9,0.01,14,1770482059,,896,0.196491,0.57559,,
openml.org/t/9918,volcanoes+AC0-e4,AutoGluon,test,9,multiclass,0.904,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:08:04,18.3,15.7,8,14,1770482060,,904,0.296491,0.57665,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,0,multiclass,0.914062,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:08:29,19,16.3,0.09,14,1770482051,,0.914062,0.2,0.793023,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,1,multiclass,0.90625,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:08:49,19.3,16.5,0.09,14,1770482052,,0.90625,0.198291,0.823746,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,2,multiclass,0.914062,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:09:08,18.9,16.2,5,14,1770482053,,0.914062,0.2,0.50713,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,3,multiclass,0.90625,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:09:27,19.3,16.5,0.01,14,1770482054,,0.90625,0.296581,0.877272,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,4,multiclass,0.914062,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:09:45,18.2,15.1,0.02,14,1770482055,,0.914062,0.264957,0.914732,,
openml.org/t/9917,volcanoes+AC0-e3,AutoGluon,test,5,multiclass,0.90625,acc,local,1.0.0,,2.1.4,2023+AC0-12+AC0-27T13:10:03,17.3,14.5,0.01,14,1770482056,,0.90625,0.263248,0.847373,,
