id,task,framework,constraint,fold,type,result,metric,mode,version,params,app+AF8-version,utc,duration,training+AF8-duration,predict+AF8-duration,models+AF8-count,seed,info,acc,balacc,logloss,models+AF8-ensemble+AF8-count,auc
openml.org/t/3874,ecoli,AutoGluon,test,1,binary,0.970588,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:44:56,13.6,11.1,0.005,14,199602309,,0.970588,0.964286,0.14403,2,0.989286
openml.org/t/3874,ecoli,AutoGluon,test,2,binary,0.941176,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:45:09,12.5,9.8,0.07,14,199602310,,0.941176,0.939286,0.122972,2,0.992857
openml.org/t/3874,ecoli,AutoGluon,test,3,binary,0.970588,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:45:21,12.3,9.8,0.02,14,199602311,,0.970588,0.973684,0.163913,2,0.978947
openml.org/t/3874,ecoli,AutoGluon,test,4,binary,0.941176,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:45:34,12.4,9.9,0.01,14,199602312,,0.941176,0.947368,0.142197,2,1
openml.org/t/3874,ecoli,AutoGluon,test,5,binary,0.941176,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:45:46,12.1,9.7,0.004,14,199602313,,0.941176,0.940351,0.508621,2,0.996491
openml.org/t/3874,ecoli,AutoGluon,test,6,binary,0.969697,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:45:59,12.8,10.3,0.02,14,199602314,,0.969697,0.964286,0.142948,2,0.981203
openml.org/t/3874,ecoli,AutoGluon,test,7,binary,0.939394,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:46:13,13.1,10.6,0.01,14,199602315,,0.939394,0.928571,0.119242,2,0.996241
openml.org/t/3874,ecoli,AutoGluon,test,8,binary,0.969697,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:46:25,12,9.5,0.004,14,199602316,,0.969697,0.973684,0.199255,2,0.958647
openml.org/t/3874,ecoli,AutoGluon,test,9,binary,0.969697,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:46:37,12.3,9.8,0.01,14,199602317,,0.969697,0.973684,0.191143,2,0.996241
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,0,binary,0.402985,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:46:50,12.9,10.3,0.01,14,199602308,,0.402985,0.403298,0.699762,3,0.424242
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,1,binary,0.447761,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:47:03,12.5,9.7,0.08,14,199602309,,0.447761,0.446524,0.699275,4,0.438503
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,2,binary,0.606061,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:47:16,12.9,10.3,0.005,14,199602310,,0.606061,0.60386,0.682306,3,0.60386
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,3,binary,0.454545,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:47:30,13.2,10.4,0.09,14,199602311,,0.454545,0.454545,0.856459,4,0.46281
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,4,binary,0.439394,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:47:43,13.1,10.4,0.08,14,199602312,,0.439394,0.439394,0.693268,3,0.504132
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,5,binary,0.454545,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:47:56,12.5,9.9,0.01,14,199602313,,0.454545,0.454545,0.696692,3,0.437098
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,6,binary,0.515152,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:48:09,12.4,9.9,0.01,14,199602314,,0.515152,0.515152,0.693276,2,0.534435
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,7,binary,0.469697,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:48:22,13,9.7,0.2,14,199602315,,0.469697,0.469697,0.703607,7,0.467401
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,8,binary,0.545455,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:48:34,12.5,10,0.003,14,199602316,,0.545455,0.545455,0.691635,2,0.549587
openml.org/t/3692,disclosure+AF8-x+AF8-noise,AutoGluon,test,9,binary,0.424242,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:48:47,12.5,9.6,0.02,14,199602317,,0.424242,0.424242,0.698126,6,0.449036
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,0,binary,0.45,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:49:00,12.2,9.4,0.08,14,199602308,,0.45,0.45,0.74247,4,0.415
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,1,binary,0.375,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:49:12,12.3,9.8,0.003,14,199602309,,0.375,0.375,0.838089,2,0.3975
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,2,binary,0.475,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:49:25,12.2,9.6,0.01,14,199602310,,0.475,0.47995,0.709906,3,0.413534
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,3,binary,0.475,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:49:37,11.9,9.1,0.02,14,199602311,,0.475,0.4599,0.695363,6,0.441103
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,4,binary,0.5,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:49:49,11.8,9.3,0.004,14,199602312,,0.5,0.493734,0.805411,2,0.438596
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,5,binary,0.4,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:50:01,11.7,9.3,0.003,14,199602313,,0.4,0.39599,0.788941,2,0.383459
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,6,binary,0.6,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:50:14,12.9,10.2,0.01,14,199602314,,0.6,0.593985,0.674612,3,0.666667
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,7,binary,0.525,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:50:26,11.9,9.3,0.01,14,199602315,,0.525,0.525063,0.701592,3,0.461153
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,8,binary,0.45,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:50:39,12.7,9.8,0.1,14,199602316,,0.45,0.448622,0.703575,5,0.433584
openml.org/t/3771,chscase+AF8-census3,AutoGluon,test,9,binary,0.425,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:50:53,13.6,10.9,0.08,14,199602317,,0.425,0.434837,0.699502,3,0.443609
openml.org/t/3718,boston,AutoGluon,test,0,binary,0.921569,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:51:06,12.5,10,0.004,14,199602308,,0.921569,0.911905,0.246363,2,0.968254
openml.org/t/3718,boston,AutoGluon,test,1,binary,0.901961,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:51:20,13.7,11,0.07,14,199602309,,0.901961,0.909524,0.269592,3,0.961905
openml.org/t/3718,boston,AutoGluon,test,2,binary,0.941176,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:51:33,12.5,10,0.004,14,199602310,,0.941176,0.928571,0.24885,2,0.977778
openml.org/t/3718,boston,AutoGluon,test,3,binary,0.882353,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:51:46,12.7,9.9,0.1,14,199602311,,0.882353,0.871429,0.251504,3,0.973016
openml.org/t/3718,boston,AutoGluon,test,4,binary,0.764706,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:51:59,12.9,10.4,0.01,14,199602312,,0.764706,0.764286,0.393818,2,0.922222
openml.org/t/3718,boston,AutoGluon,test,5,binary,0.921569,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:52:13,14,11.5,0.01,14,199602313,,0.921569,0.904762,0.383252,2,0.884127
openml.org/t/3718,boston,AutoGluon,test,6,binary,0.92,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:52:26,13,10.5,0.01,14,199602314,,0.92,0.908333,0.279796,2,0.923333
openml.org/t/3718,boston,AutoGluon,test,7,binary,0.84,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:52:39,12.7,10.2,0.01,14,199602315,,0.84,0.835796,0.295305,2,0.942529
openml.org/t/3718,boston,AutoGluon,test,8,binary,0.88,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:52:53,13.2,10.7,0.01,14,199602316,,0.88,0.870279,0.278205,2,0.967159
openml.org/t/3718,boston,AutoGluon,test,9,binary,0.9,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-01T00:53:06,13.4,10.9,0.004,14,199602317,,0.9,0.900657,0.360088,2,0.921182
openml.org/t/10094,blogger,AutoGluon,test,0,binary,0.6,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:48:42,59.1,44.4,0.4,12,1887497649,,0.6,0.857143,0.619048,0.57428,3
openml.org/t/10094,blogger,AutoGluon,test,1,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:49:34,50.8,39.8,0.3,12,1887497650,,0.8,0.785714,0.666667,0.585491,2
openml.org/t/10094,blogger,AutoGluon,test,2,binary,0.7,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:50:26,50.9,40.2,0.07,12,1887497651,,0.7,0.761905,0.690476,0.760587,2
openml.org/t/10094,blogger,AutoGluon,test,3,binary,0.4,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:51:22,54.9,44.3,0.05,12,1887497652,,0.4,0.309524,0.380952,0.783406,2
openml.org/t/10094,blogger,AutoGluon,test,4,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:52:15,51.6,41.1,0.05,12,1887497653,,0.8,0.904762,0.761905,0.491285,2
openml.org/t/10094,blogger,AutoGluon,test,5,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:53:08,51.2,40.6,0.05,12,1887497654,,0.8,0.52381,0.666667,0.674356,2
openml.org/t/10094,blogger,AutoGluon,test,6,binary,0.8,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:54:01,52.2,41.2,0.1,12,1887497655,,0.8,0.880952,0.666667,0.526904,3
openml.org/t/10094,blogger,AutoGluon,test,7,binary,0.9,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:54:53,50.9,40.2,0.07,12,1887497656,,0.9,0.952381,0.928571,0.378453,2
openml.org/t/10094,blogger,AutoGluon,test,8,binary,0.7,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:55:46,51.2,40.1,0.3,12,1887497657,,0.7,0.8125,0.666667,0.559446,2
openml.org/t/10094,blogger,AutoGluon,test,9,binary,1,acc,local,1.0.0,,2.1.4,2024+AC0-09+AC0-06T14:56:38,51.4,40.4,0.3,12,1887497658,,1,1,1,0.179024,2
